,Unnamed: 0,1,1.1,2018-09-09,LAC,Unnamed: 5,KAN,"L, 28-38",Physically Unable to Perform
0,,2,2,2018-09-16,LAC,@,BUF,"W, 31-20",Physically Unable to Perform
1,,3,3,2018-09-23,LAC,@,LAR,"L, 23-35",Physically Unable to Perform
2,,4,4,2018-09-30,LAC,,SFO,"W, 29-27",Physically Unable to Perform
3,,5,5,2018-10-07,LAC,,OAK,"W, 26-10",Physically Unable to Perform
4,,6,6,2018-10-14,LAC,@,CLE,"W, 38-14",Physically Unable to Perform
5,,7,7,2018-10-21,LAC,,TEN,"W, 20-19",Physically Unable to Perform
6,,8,9,2018-11-04,LAC,@,SEA,"W, 25-17",Physically Unable to Perform
7,,9,10,2018-11-11,LAC,@,OAK,"W, 20-6",Physically Unable to Perform
8,,10,11,2018-11-18,LAC,,DEN,"L, 22-23",Physically Unable to Perform
9,,11,12,2018-11-25,LAC,,ARI,"W, 45-10",Physically Unable to Perform
10,,12,13,2018-12-02,LAC,@,PIT,"W, 33-30",Physically Unable to Perform
11,,13,14,2018-12-09,LAC,,CIN,"W, 26-21",Physically Unable to Perform
12,,14,15,2018-12-13,LAC,@,KAN,"W, 29-28",Physically Unable to Perform
13,,15,16,2018-12-22,LAC,,BAL,"L, 10-22",Physically Unable to Perform
14,,16,17,2018-12-30,LAC,@,DEN,"W, 23-9",Physically Unable to Perform
