,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,18.0,1.0,1.0,2024-09-08,TEN,@,CHI,"L, 17-24",,4,21,0,5.3,4,4,11,2.8,0,100.0,2.8,0,0,0,,0,0,0,0,0,0,29,45.3,0,0.0,6,20.7
1,2.0,19.0,2.0,2.0,2024-09-15,TEN,,NYJ,"L, 17-24",,6,20,0,3.3,2,2,11,5.5,0,100.0,5.5,1,22,0,22.0,0,0,0,0,0,0,22,33.3,0,0.0,3,11.5
2,3.0,20.0,3.0,3.0,2024-09-22,TEN,,GNB,"L, 14-30",,2,7,0,3.5,4,4,54,13.5,0,100.0,13.5,0,0,0,,0,0,0,0,0,0,20,37.0,0,0.0,0,0.0
3,4.0,21.0,4.0,4.0,2024-09-30,TEN,@,MIA,"W, 31-12",,15,39,1,2.6,2,2,0,0.0,0,100.0,0.0,0,0,0,,0,0,0,0,0,0,27,41.5,0,0.0,0,0.0
4,5.0,22.0,5.0,6.0,2024-10-13,TEN,,IND,"L, 17-20",,6,27,0,4.5,0,0,0,,0,,,0,0,0,,0,0,0,0,0,0,12,20.7,0,0.0,0,0.0
5,5.0,,6.0,7.0,2024-10-20,TEN,@,BUF,"L, 10-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,5.0,,7.0,8.0,2024-10-27,TEN,@,DET,"L, 14-52",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,5.0,,8.0,9.0,2024-11-03,TEN,,NWE,"W, 20-17 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,6.0,23.0,9.0,10.0,2024-11-10,TEN,@,LAC,"L, 17-27",,7,47,0,6.7,3,3,4,1.3,0,100.0,1.3,0,0,0,,0,0,0,0,0,0,25,46.3,0,0.0,0,0.0
9,7.0,24.0,10.0,11.0,2024-11-17,TEN,,MIN,"L, 13-23",,3,0,0,0.0,3,2,8,4.0,0,66.7,2.7,0,0,0,,0,0,0,0,0,0,26,44.1,0,0.0,0,0.0
10,7.0,,11.0,12.0,2024-11-24,TEN,@,HOU,"W, 32-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,8.0,25.0,12.0,13.0,2024-12-01,TEN,@,WAS,"L, 19-42",,1,3,0,3.0,0,0,0,,0,,,1,29,0,29.0,0,0,0,0,0,0,14,25.5,0,0.0,3,10.7
12,9.0,26.0,13.0,14.0,2024-12-08,TEN,,JAX,"L, 6-10",,6,21,0,3.5,2,1,2,2.0,0,50.0,1.0,2,58,0,29.0,0,0,0,0,0,0,24,37.5,0,0.0,3,16.7
13,10.0,27.0,14.0,15.0,2024-12-15,TEN,,CIN,"L, 27-37",,4,5,1,1.3,7,6,87,14.5,1,85.7,12.4,1,20,0,20.0,0,0,0,0,0,0,39,55.7,0,0.0,7,31.8
14,11.0,28.0,15.0,16.0,2024-12-22,TEN,@,IND,"L, 30-38",,10,27,2,2.7,4,3,39,13.0,0,75.0,9.8,2,69,0,34.5,0,0,0,0,0,0,37,60.7,0,0.0,7,23.3
15,12.0,29.0,16.0,17.0,2024-12-29,TEN,@,JAX,"L, 13-20",*,20,95,0,4.8,4,3,8,2.7,0,75.0,2.0,0,0,0,,1,0,0,0,0,0,45,65.2,0,0.0,0,0.0
16,12.0,,17.0,18.0,2025-01-05,TEN,,HOU,"L, 14-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,1-11,,84,312,4,3.7,35,30,224,7.5,1,85.7,6.4,7,198,0,28.3,1,0,0,0,0,0,320,43.3,0,0.0,29,9.3
