,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,16.0,1.0,1.0,2018-09-10,LAR,@,OAK,"W, 33-13",*,9,5,52,10.4,1,55.6,5.8,2,16,0,8.0,0,0,0,,61,96.8,0,0.0,1,3.3
1,2.0,17.0,2.0,2.0,2018-09-16,LAR,,ARI,"W, 34-0",*,6,6,63,10.5,0,100.0,10.5,0,0,0,,0,0,0,,72,100.0,0,0.0,2,11.1
2,3.0,18.0,3.0,3.0,2018-09-23,LAR,,LAC,"W, 35-23",*,5,4,71,17.8,1,80.0,14.2,1,-3,0,-3.0,0,0,0,,75,97.4,0,0.0,0,0.0
3,4.0,19.0,4.0,4.0,2018-09-27,LAR,,MIN,"W, 38-31",*,11,9,162,18.0,2,81.8,14.7,0,0,0,,1,4,0,4.0,53,96.4,0,0.0,4,12.1
4,5.0,20.0,5.0,5.0,2018-10-07,LAR,@,SEA,"W, 33-31",*,9,6,90,15.0,1,66.7,10.0,0,0,0,,0,0,0,,36,54.5,0,0.0,2,6.7
5,6.0,21.0,6.0,6.0,2018-10-14,LAR,@,DEN,"W, 23-20",*,1,0,0,,0,0.0,0.0,1,12,0,12.0,0,0,0,,28,37.8,0,0.0,0,0.0
6,6.0,,7.0,7.0,2018-10-21,LAR,@,SFO,"W, 39-10",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,6.0,,8.0,8.0,2018-10-28,LAR,,GNB,"W, 29-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,7.0,22.0,9.0,9.0,2018-11-04,LAR,@,NOR,"L, 35-45",*,6,5,89,17.8,1,83.3,14.8,0,0,0,,0,0,0,,60,100.0,0,0.0,0,0.0
9,8.0,23.0,10.0,10.0,2018-11-11,LAR,,SEA,"W, 36-31",*,8,5,39,7.8,0,62.5,4.9,0,0,0,,0,0,0,,54,83.1,0,0.0,0,0.0
10,8.0,,11.0,11.0,2018-11-19,LAR,,KAN,"W, 54-51",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
11,8.0,,12.0,13.0,2018-12-02,LAR,@,DET,"W, 30-16",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
12,8.0,,13.0,14.0,2018-12-09,LAR,@,CHI,"L, 6-15",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
13,8.0,,14.0,15.0,2018-12-16,LAR,,PHI,"L, 23-30",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
14,8.0,,15.0,16.0,2018-12-23,LAR,@,ARI,"W, 31-9",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
15,8.0,,16.0,17.0,2018-12-30,LAR,,SFO,"W, 48-32",Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve,Injured Reserve
16,,,,,,,,,7-1,,55,40,566,14.2,6,72.7,10.3,4,25,0,6.3,1,4,0,4.0,439,82.5,0,0.0,9,4.0
